teamA;teamB;goalsA;goalsB;region
Armenien;Deutschland;1;4;Europe
Liechtenstein;Rumänien;0;2;Europe
Nordmazedonien;Island;3;1;Europe
Paraguay;Peru;2;2;South America
Uruguay;Chile;2;1;South America
Argentinien;Ecuador;1;0;South America
Kolumbien;Venezuela;3;0;South America
Brasilien;Bolivien;5;0;South America
Bolivien;Argentinien;1;2;South America
Ecuador;Uruguay;4;2;South America
Venezuela;Paraguay;0;1;South America
Peru;Brasilien;2;4;South America
Chile;Kolumbien;2;2;South America
Bolivien;Ecuador;2;3;South America
Argentinien;Paraguay;1;1;South America
Kolumbien;Uruguay;0;3;South America
Chile;Peru;2;0;South America
Brasilien;Venezuela;1;0;South America
Venezuela;Chile;2;1;South America
Ecuador;Kolumbien;6;1;South America
Uruguay;Brasilien;0;2;South America
Paraguay;Bolivien;2;2;South America
Peru;Argentinien;0;2;South America
Bolivien;Peru;1;0;South America
Venezuela;Ecuador;2;1;South America
Kolumbien;Brasilien;0;0;South America
Argentinien;Uruguay;3;0;South America
Chile;Paraguay;2;0;South America
Ecuador;Chile;0;0;South America
Uruguay;Bolivien;4;2;South America
Paraguay;Kolumbien;1;1;South America
Peru;Venezuela;1;0;South America
Brasilien;Argentinien;-;;South America
Bolivien;Venezuela;3;1;South America
Uruguay;Paraguay;0;0;South America
Argentinien;Chile;1;1;South America
Peru;Kolumbien;0;3;South America
Brasilien;Ecuador;2;0;South America
Ecuador;Peru;1;2;South America
Venezuela;Uruguay;0;0;South America
Kolumbien;Argentinien;2;2;South America
Paraguay;Brasilien;0;2;South America
Chile;Bolivien;1;1;South America
Bolivien;Kolumbien;1;1;South America
Ecuador;Paraguay;2;0;South America
Venezuela;Argentinien;1;3;South America
Peru;Uruguay;1;1;South America
Chile;Brasilien;0;1;South America
Uruguay;Ecuador;1;0;South America
Paraguay;Venezuela;2;1;South America
Kolumbien;Chile;3;1;South America
Argentinien;Bolivien;3;0;South America
Brasilien;Peru;2;0;South America
Uruguay;Kolumbien;0;0;South America
Paraguay;Argentinien;0;0;South America
Venezuela;Brasilien;1;3;South America
Ecuador;Bolivien;3;0;South America
Peru;Chile;2;0;South America
Bolivien;Paraguay;4;0;South America
Kolumbien;Ecuador;0;0;South America
Argentinien;Peru;1;0;South America
Chile;Venezuela;3;0;South America
Brasilien;Uruguay;4;1;South America
Ecuador;Venezuela;1;0;South America
Paraguay;Chile;0;1;South America
Brasilien;Kolumbien;1;0;South America
Peru;Bolivien;3;0;South America
Uruguay;Argentinien;0;1;South America
Bolivien;Uruguay;3;0;South America
Venezuela;Peru;1;2;South America
Kolumbien;Paraguay;0;0;South America
Argentinien;Brasilien;0;0;South America
Chile;Ecuador;0;2;South America
Ecuador;Brasilien;1;1;South America
Paraguay;Uruguay;0;1;South America
Chile;Argentinien;1;2;South America
Kolumbien;Peru;0;1;South America
Venezuela;Bolivien;4;1;South America
Bolivien;Chile;2;3;South America
Uruguay;Venezuela;4;1;South America
Argentinien;Kolumbien;1;0;South America
Brasilien;Paraguay;4;0;South America
Peru;Ecuador;1;1;South America
Uruguay;Peru;1;0;South America
Kolumbien;Bolivien;3;0;South America
Brasilien;Chile;4;0;South America
Paraguay;Ecuador;3;1;South America
Argentinien;Venezuela;3;0;South America
Peru;Paraguay;2;0;South America
Venezuela;Kolumbien;0;1;South America
Bolivien;Brasilien;0;4;South America
Chile;Uruguay;0;2;South America
Ecuador;Argentinien;1;1;South America
Salomonen;Tahiti;3;1;Ozeanien
Papua-Neuguinea;Neuseeland;0;1;Ozeanien
Neukaledonien;Fidschi;1;2;Ozeanien
Papua-Neuguinea;Neukaledonien;1;0;Ozeanien
Neuseeland;Fidschi;4;0;Ozeanien
Neuseeland;Neukaledonien;7;1;Ozeanien
Fidschi;Papua-Neuguinea;1;2;Ozeanien
Salomonen;Papua-Neuguinea;3;2;Ozeanien
Neuseeland;Tahiti;1;0;Ozeanien
Salomonen;Neuseeland;0;5;Ozeanien
