teamA;teamB;goalsA;goalsB;region
Kambodscha;Bahrain;0;1;Asia
Hongkong;Iran;0;2;Asia
Iran;Kambodscha;14;0;Asia
Irak;Hongkong;2;0;Asia
Kambodscha;Irak;0;4;Asia
Bahrain;Iran;1;0;Asia
Hongkong;Bahrain;0;0;Asia
Irak;Iran;2;1;Asia
Hongkong;Kambodscha;2;0;Asia
Irak;Bahrain;0;0;Asia
Iran;Hongkong;3;1;Asia
Bahrain;Kambodscha;8;0;Asia
Irak;Kambodscha;4;1;Asia
Bahrain;Iran;0;3;Asia
Kambodscha;Iran;0;10;Asia
Hongkong;Irak;0;1;Asia
Bahrain;Hongkong;4;0;Asia
Iran;Irak;1;0;Asia
Singapur;Jemen;2;2;Asia
Palästina;Usbekistan;2;0;Asia
Singapur;Palästina;2;1;Asia
Jemen;Saudi-Arabien;2;2;Asia
Usbekistan;Jemen;5;0;Asia
Saudi-Arabien;Singapur;3;0;Asia
Singapur;Usbekistan;1;3;Asia
Palästina;Saudi-Arabien;0;0;Asia
Usbekistan;Saudi-Arabien;2;3;Asia
Jemen;Palästina;1;0;Asia
Usbekistan;Palästina;2;0;Asia
Jemen;Singapur;1;2;Asia
Saudi-Arabien;Palästina;5;0;Asia
Palästina;Singapur;4;0;Asia
Saudi-Arabien;Jemen;3;0;Asia
Usbekistan;Singapur;5;0;Asia
Jemen;Usbekistan;0;1;Asia
Saudi-Arabien;Singapur;3;0;Asia
Palästina;Jemen;3;0;Asia
Saudi-Arabien;Usbekistan;3;0;Asia
Indien;Oman;1;2;Asia
Katar;Afghanistan;6;0;Asia
Afghanistan;Bangladesch;1;0;Asia
Katar;Indien;0;0;Asia
Bangladesch;Katar;0;2;Asia
Oman;Afghanistan;3;0;Asia
Indien;Bangladesch;1;1;Asia
Katar;Oman;2;1;Asia
Afghanistan;Indien;1;1;Asia
Oman;Bangladesch;4;1;Asia
Afghanistan;Katar;0;1;Asia
Oman;Indien;1;0;Asia
Katar;Bangladesch;5;0;Asia
Bangladesch;Afghanistan;1;1;Asia
Katar;Indien;1;0;Asia
Bangladesch;Indien;0;2;Asia
Katar;Oman;1;0;Asia
Afghanistan;Oman;1;2;Asia
Indien;Afghanistan;1;1;Asia
Bangladesch;Oman;0;3;Asia
Mongolei;Myanmar;1;0;Asia
Tadschikistan;Kirgisistan;1;0;Asia
Mongolei;Tadschikistan;0;1;Asia
